"family_name","species","category"
"VOCHYSIACEAE","Callisthene erythroclada","VU"
"VOCHYSIACEAE","Callisthene inundata","EN"
"VOCHYSIACEAE","Erisma arietinum","EN"
"VOCHYSIACEAE","Qualea coerulea","VU"
"VOCHYSIACEAE","Qualea elegans","EN"
"VOCHYSIACEAE","Qualea magna","EN"
"VOCHYSIACEAE","Vochysia angelica","EN"
"VOCHYSIACEAE","Vochysia petraea","EN"
"VOCHYSIACEAE","Vochysia pygmaea","EN"
"VOCHYSIACEAE","Vochysia pygmaea","EN"
"VOCHYSIACEAE","Vochysia riedeliana","NT"
"VOCHYSIACEAE","Vochysia rotundifolia","EN"
"VOCHYSIACEAE","Vochysia santaluciae","EN"
