"family_name","species","category"
"XYRIDACEAE","Xyris almae","NT"
"XYRIDACEAE","Xyris archeri","EN"
"XYRIDACEAE","Xyris augusto-coburgii","LC"
"XYRIDACEAE","Xyris aurea","EN"
"XYRIDACEAE","Xyris bialata","DD"
"XYRIDACEAE","Xyris blepharophylla","EN"
"XYRIDACEAE","Xyris brevifolia","DD"
"XYRIDACEAE","Xyris caparaoensis","DD"
"XYRIDACEAE","Xyris capensis","LC"
"XYRIDACEAE","Xyris cipoensis","EN"
"XYRIDACEAE","Xyris coutensis","CR"
"XYRIDACEAE","Xyris dardanoi","CR"
"XYRIDACEAE","Xyris diaphanobracteata","EN"
"XYRIDACEAE","Xyris fibrosa","CR"
"XYRIDACEAE","Xyris fusca","EN"
"XYRIDACEAE","Xyris goyazensis","EN"
"XYRIDACEAE","Xyris hatschbachii","CR"
"XYRIDACEAE","Xyris hystrix","CR"
"XYRIDACEAE","Xyris itambensis","DD"
"XYRIDACEAE","Xyris jataiana","DD"
"XYRIDACEAE","Xyris lanuginosa","EN"
"XYRIDACEAE","Xyris longifolia","EN"
"XYRIDACEAE","Xyris lucida","EN"
"XYRIDACEAE","Xyris lutescens","DD"
"XYRIDACEAE","Xyris mertensiana","EN"
"XYRIDACEAE","Xyris metallica","DD"
"XYRIDACEAE","Xyris morii","EN"
"XYRIDACEAE","Xyris neglecta","EN"
"XYRIDACEAE","Xyris nigricans","CR"
"XYRIDACEAE","Xyris obcordata","EN"
"XYRIDACEAE","Xyris obtusiuscula","EN"
"XYRIDACEAE","Xyris paradisiaca","EN"
"XYRIDACEAE","Xyris phaeocephala","EN"
"XYRIDACEAE","Xyris picea","EN"
"XYRIDACEAE","Xyris platystachya","CR"
"XYRIDACEAE","Xyris pranceana","DD"
"XYRIDACEAE","Xyris reitzii","EN"
"XYRIDACEAE","Xyris retrorsifimbriata","CR"
"XYRIDACEAE","Xyris rigida","CR"
"XYRIDACEAE","Xyris rupicola","EN"
"XYRIDACEAE","Xyris sincorana","EN"
"XYRIDACEAE","Xyris sororia","CR"
"XYRIDACEAE","Xyris spectabilis","EN"
"XYRIDACEAE","Xyris stenophylla","VU"
"XYRIDACEAE","Xyris subsetigera","EN"
"XYRIDACEAE","Xyris tortilis","CR"
"XYRIDACEAE","Xyris trachyphylla","LC"
"XYRIDACEAE","Xyris uninervis","CR"
"XYRIDACEAE","Xyris vacillans","EN"
"XYRIDACEAE","Xyris veruina","EN"
"XYRIDACEAE","Xyris vestita","VU"
"XYRIDACEAE","Xyris villosicarinata","DD"
"XYRIDACEAE","Xyris wawrae","EN"
